name,role,bio,photo_url,active
Garrett Reed,Executive Director,"30+ years as a teacher and trainer, working with immigrant and refugee students from Latin America.","https://static.wixstatic.com/media/b86cca_b2b0b92f951a49b58fd9b13fa5451327~mv2.png/v1/fill/w_200,h_200,al_c,q_85/Screen%20Shot%202025-03-21%20at%2012_08_07%20PM.png",TRUE
Sara Tun,"Program Administrator, Chimaltenango & Sacatepéquez","With sixteen years experience, Sarita administers 26 classrooms in two departments.","https://static.wixstatic.com/media/b86cca_5318727af2474f878016b2f3f25aa61f~mv2.jpg/v1/fill/w_200,h_200,al_c,q_80/3dd7b745-361b-4106-a3aa-0d12407f3a7c_JPG.jpg",TRUE
Lucila Diaz,"Administrator, Huehuetenango, Sololá & Quiché","Lucy has been with Let’s Be Ready for 15 years. As a curriculum specialist, Lucy oversees yearly updates to our curriculum and travels extensively to meet with and support teachers.","https://static.wixstatic.com/media/b86cca_527419ab121c4c938652b89e1b7eedea~mv2.jpg/v1/fill/w_200,h_200,al_c,q_80/IMG_20240801_155859.jpg",TRUE
Fred Zambroski,Founder,"""This project was started by a Guatemalan woman and is currently run by Guatemalan women.""","https://static.wixstatic.com/media/b86cca_d6bf45f20b3949b38c1015d5323e8134~mv2.jpg/v1/fill/w_200,h_200,al_c,q_80/IMG_0708-1536x1283-1.jpg",TRUE
